"CUST_NO","TXN_DT"
"8H_N_K5ICM4NU7OG",9519
"HXD9GCY3SPIYLJS0",9451
"KSBOZ-TBPUDD9NMO",9502
"MU8ROCNFDGSL0HJC",9549
"RGZZAUSNHNXXESM4",9561
"RK8IOV3CW0LRIQGA",9546
"XUNRR-4BPG0AZC6E",9456
"XHDBEGXDXKLJS8SK",9459
"XHDBEGXDXKLJS8SK",9459
"ARREKAB79XDMMPEE",9464
"P9KAV4D7P-H7PSCE",9548
"P9KAV4D7P-H7PSCE",9548
"739AJJKAZZ6-RUYI",9455
"GTVMS-ONZI8CIWS8",9534
"26OREPBMFPBFQBEW",9456
"6VAV-URIW34SXVDC",9519
"OU58ZAF_Q-8LFLMG",9462
"OU58ZAF_Q-8LFLMG",9462
"DLY1UJSKKH_XSEMI",9548
"NU34UJUSBHKGQEV8",9557
"BK02YQ-3SSQ9XPGS",9540
"2CGYVUR5Y9PPW1DU",9559
"PJFEMQ9RPJDOCJDU",9535
"DTA0HAXMT8GSJ1TI",9532
"UNVZZQKAWW2IAHPO",9456
"SGZTZO9KASYPVD_E",9471
"THA1TCSDSNSB-B7K",9519
"LPUNUFND65PRMVR0",9455
"LPUNUFND65PRMVR0",9528
"HESDMHZI6MZJH-W8",9487
"Z1RPMR3UF7HYTJ5I",9508
"FK62R2U2I2PZBHXA",9505
"FK62R2U2I2PZBHXA",9504
"6TCWBX1DV8NGOSBQ",9522
"6TCWBX1DV8NGOSBQ",9522
"OVXD-PYF8SMBRL10",9511
"RLO0T0SOY_O4PDZ4",9466
"VXUWS7BHRVGIKCIS",9556
"VHLKN6SQPIB3873S",9546
"SR7PMBTBPHRQSM7I",9532
"SR7PMBTBPHRQSM7I",9532
"SR7PMBTBPHRQSM7I",9532
"SR7PMBTBPHRQSM7I",9532
"DMC2JKAOLSE12BFE",9521
"X_HI_I-DJUQBZWHY",9452
"QI4EAOK_Y7RVBUWY",9525
"7MB9JSYC45_PBV9C",9521
"C1XEWGBBW3UXQ9_Q",9483
"C1XEWGBBW3UXQ9_Q",9525
"C1XEWGBBW3UXQ9_Q",9522
"BEEJ7LQYPDSDZNP0",9537
"LQDC9WMFLZYGNKL0",9511
"HGMTZ4AXOSSAJZCG",9483
"HGMTZ4AXOSSAJZCG",9490
"VYCEFRSGZZ7HXD4S",9550
"VYCEFRSGZZ7HXD4S",9549
"VYCEFRSGZZ7HXD4S",9550
"XAY_OL0U_8NACRNM",9499
"XAY_OL0U_8NACRNM",9499
"XAY_OL0U_8NACRNM",9499
"XAY_OL0U_8NACRNM",9499
"6NXNQUE4-JXZMXJ0",9554
"NACXHNASAMHBKU1E",9461
"7YJJKTZJSSFRQ4KA",9491
"EHJXISMEFIYMTE9W",9517
"YVGLJXQUBTRHEZFK",9462
"V5Q7N1UDVSGRO3DO",9455
"M7BJ_AMK5U_MDSAW",9564
"7RQOJBQCGX7PJJDY",9458
"7Z3GZ7UCPI6532B8",9455
"K2EIYTTVTYWWXZXW",9552
"AT2__OKWAO6QGYW8",9556
"QUMJSZLH_GSOFRDC",9456
"CNUVLMAQFWWEXK_Y",9452
"CNUVLMAQFWWEXK_Y",9452
"CNUVLMAQFWWEXK_Y",9451
"CNUVLMAQFWWEXK_Y",9499
"JYXXJJ_B4JGNCDXM",9471
"RCXN_3IKG3MJELVW",9505
"6EPMJTQIKJDWZ7SY",9470
"JOUPTJ2VCZ0BRJ1I",9532
"MIRNIU8LU6UDOAGG",9533
"FYRVXEUKXMS1OHHA",9501
"QXYH4L7YRG24DK98",9507
"VPT5WXGBATJTDURK",9556
"Z5PPTTUDTRKEJBYY",9507
"38ZOCOKFREQ24FE4",9449
"089SU3X9W5YFZEBO",9460
"QE6SBE9B-HGBVEKW",9512
"FMCEP3XGKF0PXZPM",9514
"FMCEP3XGKF0PXZPM",9514
"V_A0TAH6SBSSBEEQ",9513
"BH0OFLLDIEOS9DKK",9466
"EKVTV4O8PGN2Z-LU",9553
"NPJCIX2PTPS1QTNC",9554
