"CUST_NO","TXN_DT","LN_AMT","LN_USE"
"JZKEGB1J3FEPXGWA",9455,904731,"06"
"TKTH9UXLWDVLA8E4",9472,1218170,"01"
"KZ0XPLZI-NGTHTDE",9505,1183088,"01"
"BT5INBWYOZQK8CDY",9457,848097,"05"
"Z5H7IUX8VPUMWWY8",9473,848097,"01"
"P2R1KVNGH3YVPYCM",9459,848097,"06"
"DOFXDCQNVMEF3ASU",9508,1218170,"01"
"-U0UHX5JPLRKT2HW",9465,828864,"14"
"648T_UNI9J1XFOM0",9470,988495,"01"
"0JXFL-RC-_ZTKQJW",9464,988495,"06"
"2OIOBWSFG4XUZSZW",9462,892709,"02"
"35A-RFSH5K8S-5WO",9458,911458,"02"
"6UUFSPRZN7G4RRS8",9457,848097,"14"
"EUN9ZACT8YZBRUWE",9462,828864,"05"
"FIBFVSPOOU7CSOYQ",9451,739437,"05"
"2NGT1BTDSSIVVBMW",9455,777569,"02"
"-XOKSCUZ2N_FJLD8",9463,777569,"01"
"7GEY9BEO8ZM2SZ7U",9456,927919,"01"
"9WWP0GZ5JATVPIXI",9469,988495,"01"
"IYPL5RZFYSKVZJZA",9450,988495,"01"
"CZT7NX7K7RTHNMLM",9560,1218170,"06"
"ECOEZGQ4CGRDXLK4",9455,848097,"05"
"QWMNJNJK2CKYDBVO",9535,925966,"14"
"NNCZMBBAM8YGANRA",9450,988495,"14"
"DUFELIBWHJ5H18A8",9449,777569,"08"
"WY61MHSNN6PJWWO0",9462,988495,"14"
"K7FRCUWXB1GL8TFY",9452,925966,"02"
"JOAYOPKBNKNHIDCQ",9455,848097,"14"
"SDPRVK8I7QXXAAWG",9455,904731,"06"
"HY2GYPUOJ2Z9AS3S",9465,960619,"02"
"6FCTXLYPJ0HEXJPO",9451,944357,"02"
"FMIE6YTVZSUUS08I",9557,848097,"07"
"JUHPS3N05AMI7QLU",9546,805996,"05"
"GJKGSPGEKO2-U1NM",9557,904731,"06"
"GPXWN8MIH82MKH0C",9525,1041480,"06"
"SV4PNIZOUBQQQ17U",9537,848097,"14"
"3GERKM_PFZCBA0HO",9477,739437,"14"
"A6VK9PPLYTXFGLXO",9464,988495,"06"
"E38_3XDXDH0PVBXI",9450,988495,"05"
"I0UBQWHWF6HQEOHO",9458,988495,"06"
"UBJRS_RHIZNEMYYS",9525,828864,"05"
"-__ZWGCEIEKDBP_U",9534,879483,"14"
"IE3IR2OMRX7HQTGS",9547,904731,"05"
"WX3BHFWY4HM1NDJ0",9480,848097,"05"
"ZSIJE2AHO06J_B4E",9483,904731,"06"
"LBOPMZ_GFFB1WMO8",9562,988495,"05"
"PRAUXO1UBGEQQGMI",9529,864754,"09"
"3MZ3XGJ_DUYQH7OA",9567,848097,"14"
"LHVFWO9ESM9_ATB4",9462,904731,"14"
"9K3FPKOC0TMYZLE8",9451,777569,"07"
"WQTB2THNOEJTJXMK",9463,828864,"02"
"TMUV0RSN8-RD7MTW",9532,777569,"06"
"ZF2LTBPNYI6WXOGE",9511,904731,"05"
"VFKCLZWYB8EGNUHI",9526,879483,"06"
"YCYOTEBOLBJAOGRE",9487,777569,"14"
"J0ANUO7EFYM2ZKAE",9521,960619,"05"
"UIUEN_1HYV8PPZIK",9540,864754,"14"
"ZWID6LZFUHPQCOFQ",9466,988495,"04"
"8E_9TLJOR6MXCJ6Y",9546,960619,"05"
"1AEGHOMDFQR2LZ-E",9459,828864,"21"
"JCO57DO32HZBFI3I",9511,1080978,"01"
"KJ9GG-AMSUFBVH98",9459,925966,"05"
"3ODRF8UW84ZYFIBS",9458,848097,"05"
"UAFPKV5R2EAYB4DA",9459,988495,"14"
"0IQ_WVQ3COYKL52I",9547,1112753,"01"
"0RONIZMMW_FFG7FU",9560,805996,"08"
"9HPI1DLBXM_LAJRI",9513,739437,"07"
"TDF_WJ-PWWOPFMPE",9473,968105,"14"
"AOYCZKOBBFJDTYFG",9459,904731,"18"
"_MWML2ILT12UGCRG",9449,739437,"05"
"XHVJW7L7XFWGX3MS",9458,848097,"11"
"1K4TNIXYMBN9BFXG",9464,988495,"04"
"0GO76LLKER89JACO",9520,848097,"06"
"R0GSTUCWEAQGKQYO",9487,892709,"14"
"Z3QFRQPRSDIA7IY4",9473,777569,"14"
"HZTY7Y0RHSBM2BY0",9459,805996,"14"
"8V2L4OIN-DS_PXSW",9462,848097,"06"
"DAF6ZG2SPL3L4PF4",9450,848097,"06"
"F29SVK6R0JJCYOO4",9465,1080978,"06"
"XFRDPAU22DEWSTAQ",9457,960619,"05"
"RPMTLUFUZMWBRALY",9455,1087839,"02"
"NWMS7ZVB-P_OCKXS",9452,925966,"07"
"OVMOULUNHIBTE-OU",9508,988495,"14"
"XZ9M5EUVPCSCX3UG",9456,805996,"14"
"GKL7VN-CHYWDECKC",9464,739437,"14"
"MTPZ4JGSMLRGTQHC",9463,879483,"14"
"AFLPMXNYPMYU8ACY",9518,879483,"14"
"3MZ8CMYXQH-SOKGA",9501,789794,"03"
"515U9JBDWOQ3DI78",9477,805996,"02"
"GMGR8S_IMZ8TT2PG",9547,904731,"14"
"RWBRC-QDDHJR8LOO",9555,1011941,"07"
"SQFMSX1SSV1BYWOE",9466,925966,"18"
"H9GDFPLFA4JBH3Y0",9490,848097,"05"
"UDH_DAHH-7WJ0H4W",9522,777569,"11"
"KGODYIE3BWPEZNHC",9535,879483,"14"
"IIFAK1DAXHMPK-KG",9471,988495,"06"
"GI1IULZRELYNK4CC",9456,892709,"14"
"KHPMKG9UDBY32OQM",9464,1218170,"01"
"TCROAALIRFMET19I",9456,848097,"14"
"MJVOVWTGODUJBUHM",9451,904731,"14"
"XIZXGWXZMMYCUOZK",9476,988495,"06"
"8RHKFKF5MLB_DETW",9514,739437,"02"
"A3_BN_6D4KAN905O",9549,805996,"02"
"G6HOVYFCDZALKKWC",9534,777569,"05"
"NACZ_GLZZD0GH9ZS",9472,848097,"05"
"Z9CB8PUQ49PFTWGA",9455,739437,"04"
"AYDYBXGZXF81ZEEI",9465,904731,"07"
"JWFC-NXWVKDKHE9E",9477,988495,"01"
"XMVSYNAJPK93PJN8",9450,805996,"04"
"BMQM28B78IB_VVT8",9451,848097,"14"
"EN_PLPS4_F_X81AS",9457,904731,"02"
"FAQOEON72TVPGOJ4",9457,848097,"18"
"G8GMCOZJWRWEUWMW",9455,805996,"07"
"X8VORHTGEJFEAA04",9451,925966,"14"
"BUTPQ6G0XTAGLAXQ",9455,739437,"02"
"BAKZUMD_IBEIMDUE",9458,879483,"18"
"JZ7MF6Z96TGBTZOO",9452,777569,"05"
"ERY2VOEA5BSIGBKO",9562,925966,"18"
"6JSXTQRT6QLOZQ38",9532,739437,"02"
"3YEF7BSGD5DGY2GC",9560,805996,"05"
"AYC9DWCI_WAUCV-8",9514,805996,"06"
"CLOHBKGVFGCI_YRO",9477,925966,"05"
"YFPFSAYDQKYCF_04",9557,904731,"15"
"TKLAGRPGF4THI9IE",9547,892709,"07"
"ST7T09KPUEZSMBBW",9487,848097,"06"
"BNQI9BI5ZLLIIOZM",9512,944357,"05"
"7RICRZ-0XYP0PG2W",9483,805996,"14"
"9AH6HU_CCOISCLAS",9463,777569,"08"
"TXHQUI59SXZMUTR0",9512,777569,"14"
"_WPSV_NJTUFSO-G4",9532,805996,"02"
"FS4_WQLTT4OALW0C",9477,848097,"04"
"4B9IZ_GJC3A-6FN4",9471,805996,"05"
"IE7TJPFZDKFYZP6G",9537,952720,"05"
"TOQWH0S8KE6LKIBO",9553,960619,"02"
"KQ1PIMUOM1SEILNM",9499,848097,"04"
"C6NTAH1SCYILLT9E",9536,739437,"08"
"6361J35UNFKOL7GS",9554,739437,"14"
"ULLJMDY0RJ-CTTYE",9504,848097,"14"
"YDCJIPDIKBYCBWMC",9499,810934,"01"
"YQMSRA5O25GFC2V0",9449,739437,"14"
"AUY9DY_C7FXPYQMS",9456,805996,"14"
"VI_IF4VNYBF6QR1O",9540,960619,"14"
"AQE6H0GAHMV1Q0DQ",9477,848097,"09"
"9GARB1CK4XWL2OIK",9476,904731,"02"
"KHBGZJ16NDSLGMTS",9529,904731,"15"
"-WW3JPFX7RWXQ6CM",9564,848097,"07"
"YMKYUE5RBWQEXCXW",9507,739437,"02"
"LTDRAX86I2ETDMSI",9532,848097,"14"
"GJO7GDZYB9-H-ESU",9485,739437,"05"
"IYMSINOSQPUSB-QM",9486,739437,"14"
"ZOTED-SETYF-TMH8",9528,944357,"14"
"MJVDS3TI0GE3AJHW",9476,904731,"06"
"F1-CFSUNCS7APRGC",9540,777569,"02"
"XGGGAIMWBRHZ61WW",9483,904731,"04"
"MAMVOWLOMO03UEKC",9550,904731,"14"
"BJA-APLWM-ACWT88",9469,864754,"02"
"THTFC85AIZZI1B3I",9485,904731,"01"
"MKZEN4I4OBD-A8L8",9501,988495,"05"
"NWQQUYCUFEU11JKK",9550,848097,"18"
"NPASXBUJHVBGZJTU",9486,904731,"14"
"4SSCV1TZ36V_MR78",9500,904731,"14"
"-S64HHJADRQ_WDNO",9484,904731,"06"
"7JRJJAN6HVMRZGOY",9471,848097,"06"
"XVWBPN7LB-DEYQVS",9476,988495,"01"
"-4POSWFYU0VK78CG",9465,960619,"06"
"RIC2X2EMJEYARA1G",9553,1139478,"06"
"_0VFLLNNTVLOJ-BK",9478,848097,"09"
"VJHWZJCMKJBYU2DU",9562,848097,"07"
"IJZAT5VFX3JCQ3DW",9549,988495,"02"
"DLOM6GNLFZCDP4CQ",9561,960619,"04"
"3FGQXDAVZ6WIW41Q",9540,904731,"06"
"SG0WOLTC3ENM2KPC",9491,925966,"08"
"4C7KUCTUSB8QXRGI",9549,848097,"05"
"U06IZ-EWSLI2CAYM",9554,904731,"06"
"WPJQ6_R1Z7X_FZCG",9540,988495,"02"
"TMWG8UU57TEKDBNO",9562,904731,"02"
"ECGJSCMWD74ISTIG",9555,828864,"14"
"SAZKQ2CFKP7O1YE8",9533,1066324,"18"
"V-JGKF9FUMEONULY",9465,904731,"02"
"WHDQQVE3L1NYQLQK",9511,904731,"14"
"F0OWEN6FWI5LR-Q4",9477,828864,"07"
"BFOJREY0GE6UZXR8",9457,879483,"06"
"IQWOB8IKBD3SBCEQ",9529,925966,"04"
"3263MKONW0CNK2HI",9522,988495,"02"
"TJUZRPTNOPTWP2S4",9487,848097,"05"
"JFPKZIEFWXMXLDPW",9484,988495,"05"
"REEEVPKRTN3JXV_0",9470,963660,"05"
"KJTJGSOSIM8NKOTQ",9549,848097,"07"
"TQ2DMSUAVIYTSEHU",9563,805996,"11"
"7CLREAHBDB7J_OPW",9547,1139478,"05"
"ZZJ22VTEJFVTHIOM",9476,828864,"04"
"RG-PPPACFW3XRUPG",9556,864754,"06"
"NUFW9-ENW9-X6ASE",9491,904731,"02"
"LYA3SXDSVTOTFWFS",9463,848097,"05"
"3BS7CMJLOEEXJPBA",9456,805996,"08"
"XWT0KT3HFS-9556O",9450,805996,"14"
"WZSOBLUCM-L8FHYC",9464,805996,"14"
"O83OBHKGOXMN_GTE",9458,879483,"14"
"IRZBSDQ-IYEUV1BC",9465,944357,"09"
"O2Y9ZCCZW2XBOMKM",9449,1022428,"07"
"ZQYO1ANNLMDIZBVC",9459,1112753,"06"
"VU5ZUWWLOUN1D2ZC",9450,1062442,"01"
"HRDXGCNUDBYTABWE",9484,1218170,"01"
"ALGZK33F_N0YOZB4",9449,739437,"03"
"WH_CPK6ZJVFUZRAO",9513,739437,"14"
"VVKY0FVSALGUVNTS",9549,848097,"14"
"E2GPTOPWTRDULAI4",9540,805996,"14"
"ORKSNYRRJ7LMMLV8",9491,879483,"05"
"BQZ7OTRIEUP2HTCM",9483,904731,"06"
"NH1HKBNZQVL0YMQ8",9564,805996,"06"
"YAGZXDNMKNZMHLUW",9457,988495,"14"
"MTWT7FRGRZNUOORU",9540,1041480,"18"
"URFFQPM4F0JX0WYM",9504,739437,"06"
"EPWLSF6H12SDOBBE",9500,904731,"21"
"BSUVSQWDZSQ096B4",9478,904731,"02"
"MIDDYTCYAPSHJPAS",9457,848097,"05"
"_B5YH0AYK-ZZ3ZFW",9560,805996,"18"
"RVWAEKV60ILIFJRO",9463,879483,"06"
"M752T67K6NHCPOB4",9533,805996,"06"
"NX8TEE5X-MAEXKCY",9563,739437,"05"
"NZ45G8PCA71IPWPM",9554,864754,"18"
"G9CPMNF2XJSCME4E",9567,867838,"14"
"XPFRSFYQAT-9JU3M",9513,879483,"08"
"R5INSYQ4EXCQQDGU",9483,851610,"06"
"BBQHAQ39SEKR6F2W",9512,925966,"03"
"CUKE_EMYDMOUXRFC",9560,848097,"02"
"MSCCBH0ZORBPTKDA",9556,960619,"02"
"I2VTKHFJW3TRVC8A",9476,824626,"14"
"XWG5ZCD2TQ9B7D1Q",9562,739437,"09"
"CHHGZYZ38BTTDA5G",9560,904731,"05"
"Y0UYQFE76GZ1ALTO",9450,988495,"04"
"TFV0YBEEHTOGLWSO",9483,904731,"18"
"DOIDLJVXU41RUKQE",9549,879483,"05"
"GO8R1GTPUM3NEACS",9564,904731,"18"
"GLGK170NYE-UM3IW",9536,828864,"02"
"MMANFD2JJVHFIBSI",9539,879483,"05"
"BAL0CWCP0DVHSRGM",9483,968105,"02"
"MFN5P3GHBVEGOH9A",9535,848097,"02"
"QYRXFBXOHFTR0PRU",9537,1218170,"06"
"JMRHOSCBXSLRUUJE",9514,1080978,"02"
"HF-EWTGSCTFSLLBK",9485,848097,"07"
"9IJPHJYFRZWB_TVC",9491,1041480,"05"
"BHDB5QSH8VKAZ3RO",9550,988495,"06"
"KMUCH2GZSBZ_TX1Y",9557,966638,"06"
"98V_2VZQK1QOYMWG",9505,904731,"02"
"PTC7TZBA_-REGI8E",9508,988495,"02"
"-MOVMUV-11E_GM3K",9505,1175180,"07"
"IIJPHHDN6ZHF3Q2S",9449,904731,"02"
"IJBWTMWMFF2RKMUO",9504,1000675,"07"
"LAGFEYM0PG6OZ1SC",9529,1011941,"07"
"WXMXYHFZV_7AGMME",9528,848097,"09"
"3VSVSW3GICY8CB_4",9487,805996,"05"
"UVOBKKP9VWQFIZFK",9548,904731,"04"
"ZWAOW0LXSCOXXBUS",9532,848097,"08"
"BUF-PSWTX9YYRSJM",9486,879483,"04"
"WDYR_1U3U_MJKQM4",9458,805996,"14"
"IEMVCLLH3TGWTBFQ",9455,805996,"14"
"SGPXPQFYNRZJOE0O",9485,944357,"01"
"QAKJPXSGMHK8J4PA",9459,848097,"01"
"O-FIBJAUVIJJRS7C",9456,988495,"01"
"Y2QTXG1HEVHZKN8G",9450,904731,"07"
"ZHCX38XCHQDDRQGM",9505,848097,"06"
"RLJ-CFKMMH5RMZJS",9485,892709,"06"
"BWHXLHO220D06DQ0",9557,879483,"07"
"NJWSJXQIYJZSBOCQ",9534,805996,"05"
"ZMCEGMRRMWOKHGL4",9483,864754,"05"
"YF-CA6JXVSHNWWAA",9483,975222,"02"
"CGPAQN2UCCM2UOCU",9477,848097,"06"
"WH78ZNS4UIMQRFZW",9520,864754,"05"
"LPT3Z8VCUISL4VWQ",9539,988495,"06"
"EHPBG3U_M-W5UI04",9525,879483,"05"
"KZH4Z1DYGBTPSS_C",9504,904731,"06"
"98_O50FCSHGIQDZA",9504,805996,"06"
"-6EEPTBHEDMECTHM",9464,904731,"18"
"JFEUKIYJGQGQUCBW",9546,904731,"06"
"8TQQDAUX8UFX31WW",9514,848097,"05"
"C5ZBAYFDUGKO7SVG",9553,739437,"14"
"BHCKJI8_UZUXZJ3Q",9491,805996,"02"
"VSN0XK8G4AUJTI2M",9501,892709,"05"
"6HN8JLPB_G92RCKQ",9477,777569,"14"
"WVP_X4BX2Q0VMIMS",9456,864754,"14"
"NJZRFP4BUKTEJVMO",9557,925966,"05"
"VX59HJXELR-_OTZU",9537,739437,"14"
"4615FR8OX4KXLW3Y",9462,879483,"04"
"IG0VRZDP3NRNRSX8",9505,828864,"05"
"PJX4OMQ1LDKO_QEG",9504,904731,"08"
"TTTWEQ9ZK7P_JWAM",9508,960619,"11"
"HDCAXOZPL5ABZIZ8",9486,848097,"05"
"SEQRZ6ISA5YGY3QY",9567,944357,"14"
"EMSYX7IPSEQCNOYU",9553,892709,"08"
"XZIDQNSMOCWQPV1C",9513,848097,"06"
"1R4XPMAYOSM_MO78",9546,988495,"06"
"7QFBUYFRMOFTVSSQ",9514,739437,"05"
"6ECVNEMHCADJBYTC",9533,904731,"02"
"949P9XWBO899INSS",9490,952720,"06"
"F2OZYLJCPNB9CBGC",9567,805996,"02"
"I_E00NX5SDKASK7W",9519,1100761,"02"
