"CUST_NO","TXN_DT","CUST_RISK_CODE","INVEST_TYPE_CODE","WM_TXN_AMT"
"83A1N8HQ4CLT56IY",9476,3.0,2,270684
"B8ZNLMVWJOHCJ7LY",9546,3.0,2,254794
"-O2NVMT-W0WJHEAQ",9521,3.0,2,797298
"NRVZ15KRUYBNVLX0",9490,4.0,2,439191
"GAP3CQTQ-3K8OAHM",9513,4.0,2,137037
"IQAYHLFYJGS7I6AI",9525,4.0,2,505049
"VUDTJZYRXZFQXE2I",9464,4.0,2,137037
"OSYKGFITHMN-PB4K",9511,4.0,2,336670
"DTQWITQ8OWL75KUQ",9463,4.0,2,605885
"BCXKB8HF7LUJ6IO0",9519,4.0,2,605885
"RC7C8-OIJPD5SD9M",9500,4.0,2,505049
"TJ79BRJ88TAJWA3S",9487,4.0,2,605885
"TJ79BRJ88TAJWA3S",9459,4.0,2,634813
"TJ79BRJ88TAJWA3S",9507,4.0,2,505049
"FXBJ1NLZXNHF6VP4",9560,4.0,2,137037
"FXBJ1NLZXNHF6VP4",9556,4.0,2,183150
"B-BVEF_K1PTVXOHA",9550,4.0,2,505049
"IOQO49ATS-V1AH9U",9505,3.0,2,505049
"IOQO49ATS-V1AH9U",9507,3.0,2,605885
"GOD-RT8V5OTGRMDU",9511,4.0,2,439191
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9478,4.0,2,183150
"NRHCAEGOVDNGWLN0",9483,4.0,2,183150
"NRHCAEGOVDNGWLN0",9483,4.0,2,183150
"_KGNHONXVGE6MIGC",9470,3.0,2,236119
"_KGNHONXVGE6MIGC",9562,3.0,2,254794
"_KGNHONXVGE6MIGC",9562,3.0,2,254794
"_KGNHONXVGE6MIGC",9560,3.0,2,505049
