"CUST_NO","CC_IND","FX_IND","LN_IND","WM_IND"
"_PT5HFBEZJKOZ934",0,0,0,0
"6STXUMWZRDCGSDDU",0,0,0,0
"JDVF4U8JUANEID68",0,0,0,0
"8I6SQDGP9OQYUN1M",0,0,0,0
"R-TRDUV3GHTID31I",0,0,0,0
"J0DDOZLDFF03QBKW",0,0,0,0
"HWAZJ_IO2-GACG_C",0,0,0,0
"TREOAHKDWDKDT3UQ",0,0,0,0
"SA1L7XU6FBENQNT8",0,0,0,0
"K0RCWGLXIKGPZNCI",0,0,0,0
"TSRGOP9C_GNWJWU4",0,0,0,0
"PVLZ97GRPBFRXUA4",0,0,0,0
"I7B3N-KZJPDS1SNO",0,0,0,0
"_ETDAAZBGUC3TZPU",0,0,0,0
"FKVT-HRJIGSRNAU4",0,0,0,0
"ME_P7MRLRHJNK-7Q",0,0,0,0
"FGXT7RNWGNE4U874",0,0,0,0
"I2UIZFF1XZVEJ-UI",0,0,0,0
"W9YD0FJGPZPYH06E",0,0,0,0
"O8YTDNCJ9JUJNJ-G",0,0,0,0
"BKL8CYAPEX6OO9CG",0,0,0,0
"YBHJWLILFOOCOJJ4",0,0,0,0
"_RZLU2DEKJJRVI_0",0,0,0,0
"PQN2J1PZQASPI458",0,0,0,0
"SF5PVUK9GCJEL6YO",0,0,0,0
"DHX2R4NZ9SOCV020",0,0,0,0
"QSC4EGORNZ2TZEAY",0,0,0,0
"BHFG8MRPY-_JQTC4",0,0,0,0
"MTTHSGUQVFZBC5UQ",0,0,0,0
"N4MDYYOUWV3XIFVS",0,0,0,0
"YQ1UHFVI6NBTOS9C",0,0,0,0
"PY7HZRT3G0LMU-TS",0,0,0,0
"6P9UY2A_YYQIQABE",0,0,0,0
"NWDEBR2E-U-NZD-M",0,0,0,0
"MW2AVCUSFTILPK7S",0,0,0,0
"RLWI-BTQOOPVKDJW",0,0,0,0
"AGISNQ5GRI8URRCQ",0,0,0,0
"ZLVKIEVO5QTEFR_C",0,0,0,0
"OR4XX_XTUVD-OIEU",0,0,0,0
"JLP9BDCQVEDKAI5K",0,0,0,0
"7PUT_GKRQZ-WCHQQ",0,0,0,0
"B8CCSCZHUZPRIPHI",0,0,0,0
"G0DHVBDX9XI1L8J0",0,0,0,0
"VTRZCVACP0XJJQDM",0,0,0,0
"_7SJ2HJLME9S-KQE",0,0,0,0
"KXIQAUKXNVGAYCBA",0,0,0,0
"2QUP-XZ1PM5QPLKS",0,0,0,0
"EH-TWRGVKQNUVNXQ",0,0,0,0
"6QZBAUVIIKWHGXVK",0,0,0,0
"6-7T6MBFMQMJAXIS",0,0,0,0
"FJ1ZWOHWHGA5NRBG",0,0,0,0
"DJIXPQZPG_LBP_YG",0,0,0,0
"OJNVKZLZPNZDZEQO",0,0,0,0
"S1VVWNDWUZ_JEZSU",0,0,0,0
"8WNSVJBCV_U10WDQ",0,0,0,0
"CG38HV4XLEWOAT-E",0,0,0,0
"TGIZBVZYWSGBP6K0",0,0,0,0
"7LSK0YQKBK6OSTY8",0,0,0,0
"VDEGO4TEYCUWYDMK",0,0,0,0
"YTEGNBB1B5BQNLQA",0,0,0,0
"FEGIAE0LSNXYGJSY",0,0,0,0
"YFYMYTTRGA6I0RRY",0,0,0,0
"BOPMOAP1O7CGTVO0",0,0,0,0
"M2HEXSTCOFGNEXBM",0,0,0,0
"HEPJRL8BW9OKPXXQ",0,0,0,0
"KOZDVDNSELNEOYUI",0,0,0,0
"0ILVMYWQZK73E1QE",0,0,0,0
"9NPGH1CEEJBBDIZ8",0,0,0,0
"BSIQ-5I9IMXYAY2W",0,0,0,0
"RTL-PJU4K3WARL0W",0,0,0,0
"JMVXGGE_LVVYIJF4",0,0,0,0
"CAPNFTGGAM_2P5K0",0,0,0,0
"_NKLJUNAN8BWQLCI",0,0,0,0
"ZJLRANBRJLUBW_CC",0,0,0,0
"UWPGZLK8XYIZ_DK0",0,0,0,0
"K5LLJ72TJB8QLXRO",0,0,0,0
"E42CTM1YOTNJBZ5I",0,0,0,0
"JCPN6NRTOBHEUPJ4",0,0,0,0
"X-N3ZMPPF1LC1XTS",0,0,0,0
"S3XTDQLENFEHPVL0",0,0,0,0
"X3VINGBB0EECAHSS",0,0,0,0
"LXJUVNBV_JCCG06Y",0,0,0,0
"L6CZ9QPJFHZL22BI",0,0,0,0
"FAODFN-H64IJBRHO",0,0,0,0
"KJAL-DCHQ0PKFC_U",0,0,0,0
"YMBVYD1Z81CYYUIA",0,0,0,0
"5BGLGS3CG7PQTD4Y",0,0,0,0
"VG_T2_WDGDEEFHEK",0,0,0,0
"L8LZRW9XCFNEY73C",0,0,0,0
"NFKTDL9V8X-SGWCW",0,0,0,0
"XWIAB0H4XVLUD6KC",0,0,0,0
"CZJZC-WSHK7AR8L4",0,0,0,0
"BYVNI3WCMLIJXJGU",0,0,0,0
"WG7GA3HJ6Y4GDYG4",0,0,0,0
"CJ-YGWEXPEM-IAUU",0,0,0,0
"XSLSY9PZGRLTWBLY",0,0,0,0
"VX6QZ5REIOGYEHYG",0,0,0,0
"DOM2_QBE_THB0HHE",0,0,0,0
"PCMH6AFJLZEAZIRG",0,0,0,0
"_PG6OW1SNFZWSMCS",0,0,0,0
"PQUP4ESIA0DT5HQE",0,0,0,0
"ZTKERJNPX6TBF7Z4",0,0,0,0
"PA5NX6DJOMAJXOOU",0,0,0,0
"1BDDLO1M9ANI5TAE",0,0,0,0
"87TRDKNBKAC63UWC",0,0,0,0
"ECVP79FW4WYU4JPC",0,0,0,0
"E0-PBW9ETPPMKW0M",0,0,0,0
"VJHXGPWJKH2OHMGI",0,0,0,0
"SUQLMGKZNQWDYHPU",0,0,0,0
"KEAN7BEUIYSKGLQA",0,0,0,0
"OBUFDL5YVBH_PIQI",0,0,0,0
"FESPUGMORKUVWMDE",0,0,0,0
"CJ0JFD74V-NK1RJO",0,0,0,0
"FE-BKOTYGXWQDYAO",0,0,0,0
"UTWXH9JD2LFWZMOG",0,0,0,0
"GVPPZ5JTWDE8NYUW",0,0,0,0
"BR2A7PD-GPX68XSG",0,0,0,0
"GZVCMMKKYEVNGQQC",0,0,0,0
"BQ4OC5OOLYNLTFOS",0,0,0,0
"AF8ZOVFJLFBFBS_8",0,0,0,0
"EZAFLVYMC37J7ZS4",0,0,0,0
"08CEPRO8PIJYJ2CU",0,0,0,0
"YZGMS5ZIQGSEB5TA",0,0,0,0
"P7AB0LUDH4KTTJW4",0,0,0,0
"8JRDDSCEONF7XUSI",0,0,0,0
"CQGR0JJVMLE8XCGQ",0,0,0,0
"GNBOJV448VZ6KJRQ",0,0,0,0
"LC5EBIHVVQRF9XJE",0,0,0,0
"4TSQYPMJ0UJSJ_DO",0,0,0,0
"JRO2RCK5HWI5LWXK",0,0,0,0
"KFR6LNV1U6PIUTHI",0,0,0,0
"TDPZEGB43OMH-_GI",0,0,0,0
"PSXAII77WHIP-U0S",0,0,0,0
"88MBVRNLHI-98Z7E",0,0,0,0
"ADUP1J9CA9GTTX0K",0,0,0,0
"MZ4WEKZJBYQJH02W",0,0,0,0
"YNAUBOHTEZ_LNHVA",0,0,0,0
"SU4VHTD0L5OXEBXS",0,0,0,0
"VHVEMAAOBLAA_BBC",0,0,0,0
"3F_P80W4D2HBZV4C",0,0,0,0
"QJBI0R4NM1L4UTAO",0,0,0,0
"PURZADQIP0E8NPBM",0,0,0,0
"ZXALGAPKAOIDA-0U",0,0,0,0
"LMZLXOVKCIX3ZHU4",0,0,0,0
"TXM6QZ4A6U42LANS",0,0,0,0
"BWHISTGOQGBMQFAS",0,0,0,0
"EE767K8S7E7X3YS8",0,0,0,0
"Q_KN1NCJCRXRZQVE",0,0,0,0
"NIH3EXNT7_MBQLPK",0,0,0,0
"5B0ODLRBQLF091CW",0,0,0,0
"YGEUOWITLSBC85CS",0,0,0,0
"NBXRBEZACY231BKI",0,0,0,0
"JMDVP0NJSPYZKZR4",0,0,0,0
"GYX6LCQUYB5DPCXI",0,0,0,0
"4J0MVRM5DYONST7Q",0,0,0,0
"R19WP5DYCDU8ZMBY",0,0,0,0
"MXNAKBWPJ325IQGA",0,0,0,0
"R9Y-WPYKMSRGZVEC",0,0,0,0
"UWH3JQWWB5-LEM1A",0,0,0,0
"RG-BF45_LEBBKD3A",0,0,0,0
"2VFMQSFWDGZEHSWS",0,0,0,0
"OINGDATUDHAMIV8E",0,0,0,0
"OAMDJEPFOIJVVYCI",0,0,0,0
"1JHJEJW1OJ0RPEUY",0,0,0,0
"JGTEFNW811JGHOYO",0,0,0,0
"W8R2BP1M7K-NB7LS",0,0,0,0
"_ZSVVT1QSY562MFE",0,0,0,0
"BPTS9FQQL9TVVH2C",0,0,0,0
"V16JRAGFQZ0M1_ZM",0,0,0,0
"ZCGNV6JS3UDIBYFY",0,0,0,0
"CZWJS6DBV07U8LC8",0,0,0,0
"XVUGSPT-SFOZOWIG",0,0,0,0
"QE_SLZ9LNXNYT-HQ",0,0,0,0
"RGPYZDD9CO-BDOJW",0,0,0,0
"SVYPKK8KTIIV-6SG",0,0,0,0
"OICGKXB8RPZE4R1K",0,0,0,0
"FZ8IRDHLC7ZSD3NS",0,0,0,0
"-C_7XJRXNAXAB8JM",0,0,0,0
"HLL4CSKTW4TXZ04Q",0,0,0,0
"JBOJZXI94E8_OZ8M",0,0,0,0
"NH6WU9FI00_HQ9X0",0,0,0,0
"J6EFECYX07AUGEZW",0,0,0,0
"YRXURYUJBPP7HP0G",0,0,0,0
"4LD-H8ONL-CMGZMS",0,0,0,0
"NTA2IIOUU3P59ZR4",0,0,0,0
"MQORVCL3GS6FVRYO",0,0,0,0
"JIAAJZZZ2POG-EEU",0,0,0,0
"VASAHNAZXHZLOF1U",0,0,0,0
"KQRSGMSBNTMUEAF4",0,0,0,0
"14UYTVORLYVYKM84",0,0,0,0
"8ESV-HHS7TNQXWQY",0,0,0,0
"XHIRSSA9DRTG5_M0",0,0,0,0
"KIVXKR9C8MODXOC0",0,0,0,0
"QQ3PF32OKRL2EFZM",0,0,0,0
"3LXPQDIG7QA_QC3S",0,0,0,0
"SBX80DIW-TCMHWTA",0,0,0,0
"JFRLGB_DG1OIVIA4",0,0,0,0
"FERYJFOXXAF-PGYG",0,0,0,0
"LR5XKFYNSQ8-6P4M",0,0,0,0
"AH_O1UJVPY8VOGHQ",0,0,0,0
"UWF6DTWTXZRZ_V-8",0,0,0,0
"MJXOVPPBSNN1C-FY",0,0,0,0
"ZBTOVWFKXGUVDQC4",0,0,0,0
"AU8-TOBUNRBN-FUM",0,0,0,0
"CK8F59OIFBEYEOHE",0,0,0,0
"9QUVB7TRK_LOR5YG",0,0,0,0
"2RXSOW74EI9C8FR0",0,0,0,0
"WY8-CA8TWHE9RSRW",0,0,0,0
"39PI8JX6WDCJBB2I",0,0,0,0
"NQ6J6EAGQROXMIPO",0,0,0,0
"MCX1_GIVTIA6DJDE",0,0,0,0
"G6E597B0VX94GQHE",0,0,0,0
"NQKWBW7VWUFOHXOW",0,0,0,0
"DBBKIWUDWV8VLCD8",0,0,0,0
"DDXTFHZYR18MIIPA",0,0,0,0
"9KIC6JFP1XUHW75M",0,0,0,0
"VGT7T1WM4RSYQJ3E",0,0,0,0
"OVBLO3IIJULIBCYM",0,0,0,0
"DUNMOJSJU1EK_NVI",0,0,0,0
"GRKUHPP7B9HWQAPO",0,0,0,0
"BST7AUONL_9KL6LK",0,0,0,0
"KNPRYOWFYX5FLKR4",0,0,0,0
"0LIQWS7F93KSMKPQ",0,0,0,0
"63XILNAP_KCXM-BU",0,0,0,0
"TH2FLGNKDHPAXQ2U",0,0,0,0
"NENKGB578ZCYCWIQ",0,0,0,0
"H7AW-MPTC8H6IBY8",0,0,0,0
"YQETT1Z8IJXHM4XM",0,0,0,0
"WOVKFNYLS_74GBCC",0,0,0,0
"50PQGJIPNLY8FQBW",0,0,0,0
"S13QQVCWE0LF4IGU",0,0,0,0
"V0OESJAKMOHMP48K",0,0,0,0
"QW2VVN1BQ-2SXO4Q",0,0,0,0
"ERCCJLYFFR6WA5PG",0,0,0,0
"EXFUSFMJFGX0YWUA",0,0,0,0
"2ZZEUPDHULQLSMHI",0,0,0,0
"NY7RGV56K9TDIKG4",0,0,0,0
"B8MJFSM1ENUNXLEC",0,0,0,0
"0_3ERXRCUZDHIBWQ",0,0,0,0
"2JVNOYHMGIQCSSPU",0,0,0,0
"AM9ATZ0MLFXYEHFA",0,0,0,0
"ROWN1SCQDN_WFQSI",0,0,0,0
"K9SFEY8OJMTBDHEU",0,0,0,0
"U6V-L6BLRYOVVTZW",0,0,0,0
"5KOWQ9WRYSQACJ6C",0,0,0,0
"6CNUFKAOTVSTRR3U",0,0,0,0
"HVQVEJPWWHNP1SIS",0,0,0,0
"VUM2XAX8IAVW-OA4",0,0,0,0
"4ARFOPNEZUGVBCQQ",0,0,0,0
"P14ZLH6PNQGXYEGS",0,0,0,0
"ISXSWJLXWNQRWOU8",0,0,0,0
"5VHFTVF9UMN3TVGG",0,0,0,0
"IDEFJNQ60TQHLW_G",0,0,0,0
"VUYIUET6AXIBOMOA",0,0,0,0
"OZKAQUDT--CDXHTO",0,0,0,0
"2YFF5HQU80D-DQEM",0,0,0,0
"WTCB3VFOBQ1UI-US",0,0,0,0
"50Z-UIDOVPUUVR2S",0,0,0,0
"YXNXCVTORK_TTHSW",0,0,0,0
"3YFOXCBOJRC4-CXU",0,0,0,0
"VKSBHDRH8UZ45XGU",0,0,0,0
"N7AS5MXEAEVDQ9KK",0,0,0,0
"-_NV1WJAJOTTUBYU",0,0,0,0
"OESGZOXLLPH5LXR0",0,0,0,0
"CNCJQAGZINBXCYRY",0,0,0,0
"K478UXMOLCSWGGIW",0,0,0,0
"KNMOJN_ERSG9R_UE",0,0,0,0
"ZAIDAW3M7Z1ZV9AA",0,0,0,0
"WIDOFSV4ROVYDNAC",0,0,0,0
"QRMXCLQUYEMJMERO",0,0,0,0
"7ZNM06Q4FP4NNCQ0",0,0,0,0
"KJL-J4-GHJOHJRKW",0,0,0,0
"AB6MUDZFOZKXT1GU",0,0,0,0
"IQFJ6PJWYC9IXNDO",0,0,0,0
"ULVX1BWDC6TDLBA4",0,0,0,0
"NGKMXRBG38PXMJ38",0,0,0,0
"QCXGTSTBPVWRE8FO",0,0,0,0
"MFFENVJIYBMAGTI8",0,0,0,0
"UAA30R8XDZBB1FNY",0,0,0,0
"VYF2C6OV0O7PWYRY",0,0,0,0
"GMOJZJEO2II-TLM4",0,0,0,0
"3XTU38XKEMDMVJZI",0,0,0,0
"GNYSM0K9N-AOLPBS",0,0,0,0
"XGNNZBMYJJPDNGUY",0,0,0,0
"YFY8GLXCUFDHMRBY",0,0,0,0
"IKVZGVKE_QO_GTRW",0,0,0,0
"IOHIYDAAQZNYXUIY",0,0,0,0
"R8WVVK6V1JLBWIZM",0,0,0,0
"SOMCZ9AF4WC2DR-K",0,0,0,0
"OCJNZI9W1H316VJC",0,0,0,0
"PDX6XMA5RXQGTZTA",0,0,0,0
"0IAOKL87GWKWAZT0",0,0,0,0
"FVRV31EFQFNYCSDK",0,0,0,0
"DWGXOV-U2BPSLY2U",0,0,0,0
"DCF_KNEA8YVVDMC0",0,0,0,0
"KT5_-GOIBUHCHVQ8",0,0,0,0
"NKQWUKYJ75C29Z-K",0,0,0,0
"01KVJIIVWBJ_0_J0",0,0,0,0
"UXW7B3_2PZ6IXPCQ",0,0,0,0
"AOR71MZYGAGHHMOE",0,0,0,0
"IGSAS_OGQK1YFRPU",0,0,0,0
"WO1TZ4CGSFII42BE",0,0,0,0
"OEHMTL4F6I6OGKVQ",0,0,0,0
"LPKJTY1PY4CRRCBM",0,0,0,0
"II75LK0FEVBFWOHU",0,0,0,0
"U3KUMQ8IPYO4W1II",0,0,0,0
"FYGEWJU9TLA3GRAS",0,0,0,0
"JSWLNMTE39OEWCYW",0,0,0,0
"ZW3UGEHJHFXP6LKA",0,0,0,0
"7NPC6PHJLEOCEB94",0,0,0,0
"FTWCNLQH-DW58AHU",0,0,0,0
"UMTUU8N5U8TKLBB0",0,0,0,0
"LERF34ZMB9DJY5L0",0,0,0,0
"H-EYBKZHR8TTRJD8",0,0,0,0
"NBQNH0X0EFHDFD7K",0,0,0,0
"1K_SJYKQPV99MFEK",0,0,0,0
"QVL3WOKHCKKDD_2W",0,0,0,0
"FRWXRXC8FFGWY_-A",0,0,0,0
"HSHBDLFYLBFOMTU0",0,0,0,0
"THAEWL72UQWR7ZX4",0,0,0,0
"RFAN9HANZR1QJSGA",0,0,0,0
"ZYSKXF7AAD4UQYQU",0,0,0,0
"HWHLPZ2RGJY0KFVI",0,0,0,0
"EQ75DLQ-N1YXBSOA",0,0,0,0
"9NUIHYERHAG7LEWC",0,0,0,0
"ZOK9NMLE7EAXIC7A",0,0,0,0
"THOXHUSVZIAMIGYS",0,0,0,0
